percent,value
98.8,987999.012
98.9,988999.011
99.0,989999.01
99.1,990999.009
99.2,991999.008
99.3,992999.007
99.4,993999.006
99.5,994999.005
99.6,995999.004
99.7,996999.003
99.8,997999.002
99.9,998999.0010000002
100.0,999999.0
